                                                  iDroid Solutions 
-----------------------------------------------------------------------------------
ID     | First Name | Last Name  | Gross Salary | Deductions | Net Salary 
-----------------------------------------------------------------------------------
1000   | fname0     | lname0     | $35558.64    | $14911.16   | $20647.48  
1001   | fname1     | lname1     | $43597.84    | $18282.32   | $25315.52  
1002   | fname2     | lname2     | $33221.24    | $13930.99   | $19290.25  
1003   | fname3     | lname3     | $28177.76    | $11816.06   | $16361.70  
1004   | fname4     | lname4     | $37795.68    | $15849.24   | $21946.44  
1005   | fname5     | lname5     | $39816.40    | $16696.61   | $23119.79  
1006   | fname6     | lname6     | $29245.32    | $12263.73   | $16981.59  
1007   | fname7     | lname7     | $33715.76    | $14138.37   | $19577.39  
1008   | fname8     | lname8     | $39365.04    | $16507.34   | $22857.70  
1013   | fname13    | lname13    | $44045.04    | $18469.85   | $25575.19  
1014   | fname14    | lname14    | $38541.36    | $16161.93   | $22379.43  
1017   | fname17    | lname17    | $39125.84    | $16407.03   | $22718.81  
1019   | fname19    | lname19    | $25735.32    | $10791.85   | $14943.47  
1020   | fname20    | lname20    | $36807.68    | $15434.93   | $21372.75  
1021   | fname21    | lname21    | $24092.64    | $10103.01   | $13989.63  
1022   | fname22    | lname22    | $42660.80    | $17889.38   | $24771.42  
1023   | fname23    | lname23    | $39539.76    | $16580.60   | $22959.16  
1026   | fname26    | lname26    | $25979.20    | $10894.12   | $15085.08  
1027   | fname27    | lname27    | $17825.60    | $4979.40    | $12846.20  
1028   | fname28    | lname28    | $26921.96    | $11289.45   | $15632.51  
1029   | fname29    | lname29    | $32708.52    | $13715.99   | $18992.53  
1031   | fname31    | lname31    | $27144.00    | $11382.56   | $15761.44  
1032   | fname32    | lname32    | $26073.32    | $10933.59   | $15139.73  
1033   | fname33    | lname33    | $42024.84    | $17622.70   | $24402.14  
1034   | fname34    | lname34    | $28554.24    | $11973.94   | $16580.30  
1035   | fname35    | lname35    | $29838.64    | $12512.54   | $17326.10  
1039   | fname39    | lname39    | $25728.56    | $10789.01   | $14939.55  
1040   | fname40    | lname40    | $24947.00    | $10461.27   | $14485.73  
1041   | fname41    | lname41    | $27925.56    | $11710.30   | $16215.26  
1042   | fname42    | lname42    | $30925.44    | $12968.27   | $17957.17  
1044   | fname44    | lname44    | $27926.60    | $11710.74   | $16215.86  
1045   | fname45    | lname45    | $30630.60    | $12844.64   | $17785.96  
1046   | fname46    | lname46    | $22399.00    | $9392.80    | $13006.20  
1047   | fname47    | lname47    | $31163.60    | $13068.14   | $18095.46  
1049   | fname49    | lname49    | $40336.92    | $16914.88   | $23422.04  
1050   | fname50    | lname50    | $25847.64    | $10838.95   | $15008.69  
1051   | fname51    | lname51    | $50232.00    | $21064.29   | $29167.71  
1052   | fname52    | lname52    | $33891.00    | $14211.85   | $19679.15  
1053   | fname53    | lname53    | $30546.88    | $12809.53   | $17737.35  
1054   | fname54    | lname54    | $36125.44    | $15148.84   | $20976.60  
1055   | fname55    | lname55    | $30625.92    | $12842.67   | $17783.25  
1056   | fname56    | lname56    | $37814.40    | $15857.09   | $21957.31  
1057   | fname57    | lname57    | $33281.56    | $13956.29   | $19325.27  
1058   | fname58    | lname58    | $31258.24    | $13107.83   | $18150.41  
1059   | fname59    | lname59    | $21577.92    | $9048.48    | $12529.44  
1062   | fname62    | lname62    | $32370.00    | $13574.04   | $18795.96  
1063   | fname63    | lname63    | $28662.40    | $12019.29   | $16643.11  
1064   | fname64    | lname64    | $25844.00    | $10837.42   | $15006.58  
1065   | fname65    | lname65    | $41167.36    | $17263.12   | $23904.24  
1066   | fname66    | lname66    | $30257.76    | $12688.29   | $17569.47  
1067   | fname67    | lname67    | $20603.44    | $8639.85    | $11963.59  
1068   | fname68    | lname68    | $23853.96    | $10002.92   | $13851.04  
1069   | fname69    | lname69    | $41558.40    | $17427.10   | $24131.30  
